ROI,Subject,Effect, LocalizerSize,EffectSize
1,722_FED_20190213a_3T2_PL2017,S, 37,0.285025
1,722_FED_20190213a_3T2_PL2017,N, 37,-0.618472
1,722_FED_20190213a_3T2_PL2017,S-N, 37,0.903497
1,724_FED_20190214b_3T2_PL2017,S, 37,0.462794
1,724_FED_20190214b_3T2_PL2017,N, 37,0.083555
1,724_FED_20190214b_3T2_PL2017,S-N, 37,0.379240
1,018_KAN_RHnonlit_09_PL2017,S, 37,2.218162
1,018_KAN_RHnonlit_09_PL2017,N, 37,0.934288
1,018_KAN_RHnonlit_09_PL2017,S-N, 37,1.283874
1,018_FED_20150817a_3T1_PL2017,S, 37,0.978399
1,018_FED_20150817a_3T1_PL2017,N, 37,0.670051
1,018_FED_20150817a_3T1_PL2017,S-N, 37,0.308348
1,036_KAN_EvDB_20150501b_PL2017,S, 37,0.114112
1,036_KAN_EvDB_20150501b_PL2017,N, 37,0.099445
1,036_KAN_EvDB_20150501b_PL2017,S-N, 37,0.014666
1,043_FED_20170630b_3T2_PL2017,S, 37,1.787454
1,043_FED_20170630b_3T2_PL2017,N, 37,-0.128250
1,043_FED_20170630b_3T2_PL2017,S-N, 37,1.915704
1,045_FED_20160803a_3T1_PL2017,S, 37,2.625175
1,045_FED_20160803a_3T1_PL2017,N, 37,0.057876
1,045_FED_20160803a_3T1_PL2017,S-N, 37,2.567300
1,045_FED_20160817a_3T2_PL2017,S, 37,2.559547
1,045_FED_20160817a_3T2_PL2017,N, 37,0.840973
1,045_FED_20160817a_3T2_PL2017,S-N, 37,1.718574
1,049_KAN_RHnonlit_10_PL2017,S, 37,2.640094
1,049_KAN_RHnonlit_10_PL2017,N, 37,0.169395
1,049_KAN_RHnonlit_10_PL2017,S-N, 37,2.470699
1,050_KAN_evDB_20131218b_PL2017,S, 37,2.470905
1,050_KAN_evDB_20131218b_PL2017,N, 37,0.138314
1,050_KAN_evDB_20131218b_PL2017,S-N, 37,2.332591
1,055_FED_20191106a_3T2_PL2017,S, 37,3.055641
1,055_FED_20191106a_3T2_PL2017,N, 37,1.565289
1,055_FED_20191106a_3T2_PL2017,S-N, 37,1.490352
1,090_KAN_polyglot_01_PL2017,S, 37,0.514274
1,090_KAN_polyglot_01_PL2017,N, 37,-0.366176
1,090_KAN_polyglot_01_PL2017,S-N, 37,0.880450
1,097_KAN_RHnonlit_05_PL2017,S, 37,3.480660
1,097_KAN_RHnonlit_05_PL2017,N, 37,1.794225
1,097_KAN_RHnonlit_05_PL2017,S-N, 37,1.686435
1,113_KAN_prodsemphon_05_PL2017,S, 37,2.016700
1,113_KAN_prodsemphon_05_PL2017,N, 37,0.264324
1,113_KAN_prodsemphon_05_PL2017,S-N, 37,1.752376
1,117_KAN_EvDB_20150217c_PL2017,S, 37,1.879703
1,117_KAN_EvDB_20150217c_PL2017,N, 37,0.395313
1,117_KAN_EvDB_20150217c_PL2017,S-N, 37,1.484390
1,127_FED_20160331a_3T1_PL2017,S, 37,0.898469
1,127_FED_20160331a_3T1_PL2017,N, 37,-0.120782
1,127_FED_20160331a_3T1_PL2017,S-N, 37,1.019251
1,127_KAN_EvDB_20150217a_PL2017,S, 37,2.212682
1,127_KAN_EvDB_20150217a_PL2017,N, 37,0.361804
1,127_KAN_EvDB_20150217a_PL2017,S-N, 37,1.850878
1,135_KAN_RHnonlit_06_PL2017,S, 37,2.676986
1,135_KAN_RHnonlit_06_PL2017,N, 37,1.049012
1,135_KAN_RHnonlit_06_PL2017,S-N, 37,1.627974
1,136_KAN_RHnonlit_03_PL2017,S, 37,1.112875
1,136_KAN_RHnonlit_03_PL2017,N, 37,0.050624
1,136_KAN_RHnonlit_03_PL2017,S-N, 37,1.062251
1,138_KAN_RHnonlit_02_PL2017,S, 37,1.218136
1,138_KAN_RHnonlit_02_PL2017,N, 37,0.697546
1,138_KAN_RHnonlit_02_PL2017,S-N, 37,0.520590
1,143_FED_20160222a_3T2_PL2017,S, 37,1.836737
1,143_FED_20160222a_3T2_PL2017,N, 37,0.900151
1,143_FED_20160222a_3T2_PL2017,S-N, 37,0.936586
1,143_KAN_evDB_20140121b_PL2017,S, 37,0.773706
1,143_KAN_evDB_20140121b_PL2017,N, 37,0.353663
1,143_KAN_evDB_20140121b_PL2017,S-N, 37,0.420043
1,149_KAN_EvDB_20150501a_PL2017,S, 37,1.829774
1,149_KAN_EvDB_20150501a_PL2017,N, 37,1.029612
1,149_KAN_EvDB_20150501a_PL2017,S-N, 37,0.800162
1,152_KAN_RHnonlit_01_PL2017,S, 37,0.730656
1,152_KAN_RHnonlit_01_PL2017,N, 37,-0.503965
1,152_KAN_RHnonlit_01_PL2017,S-N, 37,1.234621
1,159_KAN_prodsemphon_01_PL2017,S, 37,1.273129
1,159_KAN_prodsemphon_01_PL2017,N, 37,-0.184626
1,159_KAN_prodsemphon_01_PL2017,S-N, 37,1.457755
1,163_KAN_evDB_20141110b_PL2017,S, 37,2.155744
1,163_KAN_evDB_20141110b_PL2017,N, 37,0.276543
1,163_KAN_evDB_20141110b_PL2017,S-N, 37,1.879201
1,168_FED_20170918a_3T2_PL2017,S, 37,2.122613
1,168_FED_20170918a_3T2_PL2017,N, 37,-0.027460
1,168_FED_20170918a_3T2_PL2017,S-N, 37,2.150073
1,168_KAN_evDB_20141020b_PL2017,S, 37,2.110238
1,168_KAN_evDB_20141020b_PL2017,N, 37,0.075408
1,168_KAN_evDB_20141020b_PL2017,S-N, 37,2.034830
1,168_FED_20160107b_3T2_PL2017,S, 37,1.136931
1,168_FED_20160107b_3T2_PL2017,N, 37,0.435398
1,168_FED_20160107b_3T2_PL2017,S-N, 37,0.701533
1,171_KAN_langsens_05_PL2017,S, 37,0.349880
1,171_KAN_langsens_05_PL2017,N, 37,0.157508
1,171_KAN_langsens_05_PL2017,S-N, 37,0.192372
1,172_KAN_prodsemphon_02_PL2017,S, 37,1.323717
1,172_KAN_prodsemphon_02_PL2017,N, 37,0.468484
1,172_KAN_prodsemphon_02_PL2017,S-N, 37,0.855232
1,175_FED_20160121a_3T2_PL2017,S, 37,2.456613
1,175_FED_20160121a_3T2_PL2017,N, 37,0.328645
1,175_FED_20160121a_3T2_PL2017,S-N, 37,2.127968
1,175_FED_20170922a_3T2_PL2017,S, 37,1.420782
1,175_FED_20170922a_3T2_PL2017,N, 37,0.765471
1,175_FED_20170922a_3T2_PL2017,S-N, 37,0.655311
1,179_FED_20160706b_3T1_PL2017,S, 37,0.730391
1,179_FED_20160706b_3T1_PL2017,N, 37,-0.100901
1,179_FED_20160706b_3T1_PL2017,S-N, 37,0.831292
1,181_KAN_polyglot_02_PL2017,S, 37,1.016719
