ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,ODD_S-N,1.149252,1.264501,0.039516
2,ODD_S-N,1.460765,1.039004,0.032469
3,ODD_S-N,1.617509,1.120466,0.035015
4,ODD_S-N,1.168744,0.636432,0.019889
5,ODD_S-N,1.390127,0.683195,0.021350
6,ODD_S-N,0.760455,0.738432,0.023076
7,ODD_S-N,0.470543,0.667763,0.020868
8,ODD_S-N,0.568613,0.762352,0.023823
9,ODD_S-N,0.371020,0.756268,0.023633
10,ODD_S-N,0.807702,0.596616,0.018644
11,ODD_S-N,0.593112,0.526439,0.016451
12,ODD_S-N,0.194773,0.398106,0.012441
