ROI,Subject,Session/Partition,LocalizerSize
1,234_KAN_prodsemphon_15_PL2017,1,37
1,235_KAN_prodsemphon_16_PL2017,1,37
1,236_KAN_evDB_20141021c_PL2017,1,37
1,237_KAN_evDB_20141027a_PL2017,1,37
1,238_KAN_EvDB_20150504_PL2017,1,37
1,238_KAN_evDB_20141027c_PL2017,1,37
1,239_KAN_evDB_20141027d_PL2017,1,37
1,239_KAN_evDB_20150129b_PL2017,1,37
1,240_KAN_evDB_20141103a_PL2017,1,37
1,241_KAN_evDB_20141103d_PL2017,1,37
1,242_KAN_evDB_20141110a_PL2017,1,37
1,243_KAN_prodsemphon_18_PL2017,1,37
1,244_KAN_evDB_20141201a_PL2017,1,37
1,245_KAN_evDB_20141201b_PL2017,1,37
1,246_KAN_evDB_20141201c_PL2017,1,37
1,247_KAN_evDB_20141215b_PL2017,1,37
1,248_KAN_evDB_20150129a_PL2017,1,37
1,248_FED_20151231c_3T2_PL2017,1,37
1,249_FED_20160817b_3T1_PL2017,1,37
1,249_FED_20170110a_3T2_PL2017,1,37
1,249_KAN_EvDB_20150130_PL2017,1,37
1,250_KAN_evDB_20150205a_PL2017,1,37
1,251_FED_20150828d_3T2_PL2017,1,37
1,251_KAN_evDB_20150205b_PL2017,1,37
1,252_FED_20181010b_3T2_PL2017,1,37
1,252_KAN_evDB_20150206_PL2017,1,37
1,253_KAN_EvDB_20150211a_PL2017,1,37
1,254_KAN_EvDB_20150211c_PL2017,1,37
1,255_KAN_EvDB_20150223a_PL2017,1,37
1,256_KAN_EvDB_20150223b_PL2017,1,37
1,257_KAN_EvDB_20150310b_PL2017,1,37
1,257_KAN_EvDB_20150223c_PL2017,1,37
1,258_KAN_EvDB_20150224b_PL2017,1,37
1,259_KAN_EvDB_20150224c_PL2017,1,37
1,260_KAN_EvDB_20150303_PL2017,1,37
1,261_KAN_EvDB_20150304a_PL2017,1,37
1,261_KAN_EvDB_20150310a_PL2017,1,37
1,261_FED_20170828a_3T2_PL2017,1,37
1,262_FED_20160909a_3T2_PL2017,1,37
1,262_FED_20170118a_3T2_PL2017,1,37
1,262_KAN_evDB_20150304b_PL2017,1,37
1,263_KAN_evDB_20150306_PL2017,1,37
1,264_KAN_EvDB_20150310c_PL2017,1,37
1,265_KAN_EvDB_20150310d_PL2017,1,37
1,266_KAN_EvDB_20150311c_PL2017,1,37
1,267_KAN_EvDB_20150316a_PL2017,1,37
1,268_FED_20170929a_3T2_PL2017,1,37
1,268_KAN_EvDB_20150317a_PL2017,1,37
1,269_KAN_EvDB_20150317b_PL2017,1,37
1,270_KAN_EvDB_20150317c_PL2017,1,37
1,271_KAN_EvDB_20150323a_PL2017,1,37
1,271_FED_20150908a_3T2_PL2017,1,37
1,272_KAN_EvDB_20150323b_PL2017,1,37
1,273_KAN_EvDB_20150506_PL2017,1,37
1,273_KAN_EvDB_20150323c_PL2017,1,37
1,274_KAN_EvDB_20150324a_PL2017,1,37
1,275_KAN_EvDB_20150324b_PL2017,1,37
1,276_KAN_EvDB_20150325a_PL2017,1,37
1,278_KAN_EvDB_20150428a_PL2017,1,37
1,279_KAN_EvDB_20150429a_PL2017,1,37
1,280_FED_20150811c_3T1_PL2017,1,37
1,280_KAN_EvDB_20150429b_PL2017,1,37
1,281_KAN_EvDB_20150429e_PL2017,1,37
1,282_KAN_EvDB_20150505a_PL2017,1,37
1,283_FED_20170831b_3T2_PL2017,1,37
1,283_KAN_EvDB_20150505b_PL2017,1,37
1,284_KAN_EvDB_20150508_PL2017,1,37
1,286_KAN_EvDB_20150521a_PL2017,1,37
1,287_KAN_EvDB_20150521c_PL2017,1,37
1,288_FED_20170412b_3T2_PL2017,1,37
1,288_FED_20150613a_3T1_PL2017,1,37
1,289_FED_20150613b_3T1_PL2017,1,37
1,290_FED_20170109b_3T2_PL2017,1,37
1,290_FED_20170426a_3T2_PL2017,1,37
1,290_FED_20150615a_3T2_PL2017,1,37
1,291_FED_20160523a_3T2_PL2017,1,37
1,291_FED_20150615b_3T2_PL2017,1,37
1,292_FED_20150615c_3T2_PL2017,1,37
1,293_FED_20150619a_3T2_PL2017,1,37
1,294_FED_20150619b_3T2_PL2017,1,37
1,295_FED_20150625a_3T2_PL2017,1,37
1,296_FED_20150810a_3T1_PL2017,1,37
1,296_FED_20150625b_3T2_PL2017,1,37
1,297_FED_20150625c_3T2_PL2017,1,37
1,298_FED_20150625d_3T2_PL2017,1,37
1,298_FED_20150810b_3T1_PL2017,1,37
1,299_FED_20150708a_3T2_PL2017,1,37
1,300_FED_20150708b_3T2_PL2017,1,37
1,301_FED_20150708c_3T2_PL2017,1,37
1,302_FED_20150709a_3T2_PL2017,1,37
1,303_FED_20150709c_3T2_PL2017,1,37
1,304_FED_20150710a_3T2_PL2017,1,37
