ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,1.155119,0.251919,4.585284,120.000000,0.000006,0.000008
2,743,74,1.000000,1.565952,0.255911,6.119126,120.000000,0.000000,0.000000
3,462,46,1.000000,1.788344,0.213004,8.395811,120.000000,0.000000,0.000000
4,1627,162,1.000000,0.980170,0.058743,16.685804,120.000000,0.000000,0.000000
5,2948,294,1.000000,1.598298,0.109499,14.596472,120.000000,0.000000,0.000000
6,644,64,1.000000,0.407441,0.076841,5.302371,120.000000,0.000000,0.000001
7,370,37,1.000000,0.544362,0.121698,4.473054,120.000000,0.000009,0.000012
8,743,74,1.000000,0.467490,0.158860,2.942779,120.000000,0.001953,0.002343
9,462,46,1.000000,0.260078,0.218184,1.192015,120.000000,0.117804,0.128513
10,1627,162,1.000000,0.514253,0.110281,4.663102,120.000000,0.000004,0.000007
11,2948,294,1.000000,0.578579,0.091837,6.300056,120.000000,0.000000,0.000000
12,644,64,1.000000,-0.327119,0.138377,-2.363968,120.000000,0.990157,0.990157
