ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,0.152142,0.171021,0.889614,120.000000,0.187727,0.563180
2,743,74,1.000000,0.317509,0.201149,1.578473,120.000000,0.058545,0.234179
3,462,46,1.000000,0.593817,0.195725,3.033939,120.000000,0.001480,0.008879
4,1627,162,1.000000,-0.029547,0.052790,-0.559712,120.000000,0.711640,0.997162
5,2948,294,1.000000,0.372997,0.098810,3.774890,120.000000,0.000125,0.001502
6,644,64,1.000000,-0.671181,0.066269,-10.128162,120.000000,1.000000,1.000000
7,370,37,1.000000,0.052263,0.143562,0.364045,120.000000,0.358233,0.716465
8,743,74,1.000000,-0.088953,0.132800,-0.669825,120.000000,0.747872,0.997162
9,462,46,1.000000,0.070184,0.187466,0.374384,120.000000,0.354390,0.716465
10,1627,162,1.000000,-0.259089,0.138902,-1.865261,120.000000,0.967706,1.000000
11,2948,294,1.000000,-0.013069,0.087777,-0.148893,120.000000,0.559056,0.958382
12,644,64,1.000000,-0.683522,0.128385,-5.323993,120.000000,1.000000,1.000000
