ROI,Subject,Weight
2,038_domspec_07_PL2017,1.000000
2,039_domspec_08_PL2017,1.000000
2,040_domspec_11_PL2017,1.000000
2,040_KAN_langevents_01_PL2017,1.000000
2,040_KAN_langstroop_05_PL2017,1.000000
2,041_KAN_domspec_12_PL2017,1.000000
2,042_domspec_13_PL2017,1.000000
2,043_langmus_01_PL2017,1.000000
2,044_langmus_02_PL2017,1.000000
2,045_langmus_06_PL2017,1.000000
2,046_KAN_langmus_08_PL2017,1.000000
2,046_KAN_langstroop_01_PL2017,1.000000
2,047_KAN_syntax_12_PL2017,1.000000
2,047_langmus_09_PL2017,1.000000
2,048_KAN_syntax_08_PL2017,1.000000
2,048_langmus_10_PL2017,1.000000
2,049_KAN_langmus_11_PL2017,1.000000
2,050_KAN_langmus_12_PL2017,1.000000
2,050_KAN_syntax_05_PL2017,1.000000
2,051_langmus_13_PL2017,1.000000
2,052_langmus_14_PL2017,1.000000
2,054_KAN_langstroop_02_PL2017,1.000000
2,056_KAN_langstroop_04_PL2017,1.000000
2,056_KAN_langevents_05_PL2017,1.000000
2,057_KAN_langevents_02_PL2017,1.000000
2,058_domspec_14_PL2017,1.000000
2,059_KAN_langevents_04_PL2017,1.000000
2,060_domspec_15_PL2017,1.000000
2,061_KAN_lingviol_02_PL2017,1.000000
2,061_KAN_stories_05_PL2017,1.000000
2,061_KAN_syntax_07_PL2017,1.000000
2,061_KAN_langstroopBL_05_PL2017,1.000000
2,062_KAN_langstroopBL_06_PL2017,1.000000
2,063_KAN_langstroopBL_07_PL2017,1.000000
2,064_KAN_langstroopBL_08_PL2017,1.000000
2,065_KAN_langstroopBL_09_PL2017,1.000000
2,066_KAN_langstroopBL_10_PL2017,1.000000
2,067_KAN_langevents_06_PL2017,1.000000
2,068_KAN_langevents_07_PL2017,1.000000
2,069_KAN_langevents_10_PL2017,1.000000
2,070_KAN_langevents_11_PL2017,1.000000
2,071_KAN_langstroopBL_12_PL2017,1.000000
2,072_KAN_langstroopBL_13_PL2017,1.000000
2,073_KAN_langstroopBL_14_PL2017,1.000000
2,074_KAN_langstroopBL_15_PL2017,1.000000
2,075_KAN_langmustask_01_PL2017,1.000000
2,076_KAN_langevents_16_PL2017,1.000000
2,076_KAN_langstroopBL_16_PL2017,1.000000
2,077_KAN_langmustask_02_PL2017,1.000000
2,078_KAN_langstroopBL_17_PL2017,1.000000
2,078_KAN_langevents_13_PL2017,1.000000
2,079_KAN_langstroopBL_18_PL2017,1.000000
2,080_KAN_langmustask_03_PL2017,1.000000
2,081_KAN_langstroopBL_19_PL2017,1.000000
2,082_KAN_langmustask_04_PL2017,1.000000
2,083_KAN_langstroopBL_20_PL2017,1.000000
2,084_KAN_syntax_02_PL2017,1.000000
2,084_KAN_langstroopBL_21_PL2017,1.000000
2,085_KAN_langstroopBL_22_PL2017,1.000000
2,085_KAN_stories_02_PL2017,1.000000
2,086_KAN_langstroopBL_23_PL2017,1.000000
2,087_KAN_langevents_12_PL2017,1.000000
2,088_KAN_stories_04_PL2017,1.000000
