ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,0.401766,0.028378,14.157522,1023.000000,0.000000,0.000000
2,743,74,1.000000,0.581302,0.031864,18.243343,1023.000000,0.000000,0.000000
3,462,46,1.000000,1.082275,0.038410,28.177165,1023.000000,0.000000,0.000000
4,1627,162,1.000000,0.122069,0.013059,9.347638,1023.000000,0.000000,0.000000
5,2948,294,1.000000,0.494530,0.018795,26.311923,1023.000000,0.000000,0.000000
6,644,64,1.000000,-0.293892,0.020679,-14.212311,1023.000000,1.000000,1.000000
7,370,37,1.000000,0.253364,0.024469,10.354617,1023.000000,0.000000,0.000000
8,743,74,0.999023,0.302782,0.024899,12.160289,1022.000000,0.000000,0.000000
9,462,46,0.999023,0.516634,0.031894,16.198418,1022.000000,0.000000,0.000000
10,1627,162,1.000000,0.047920,0.021792,2.198937,1023.000000,0.014053,0.016863
11,2948,294,1.000000,0.277850,0.017358,16.006910,1023.000000,0.000000,0.000000
12,644,64,1.000000,-0.223506,0.022092,-10.117146,1023.000000,1.000000,1.000000
