Subject,LH_SN_Spcorr,RH_SN_Spcorr
sub1,0.7973963992827784,0.6898139239236677
sub2,0.43148409106340996,0.35932017170831854
sub3,0.3028270555614664,0.07364798623313193
sub4,1.0854588881612188,0.9808889741894389
sub5,0.36572410638436287,0.20760959630469228
sub6,0.61202527579486,0.39138542295627265
sub7,0.6896162505155143,0.4243174715156813
sub8,0.5668119591813525,0.4182290456825827
sub9,0.41427394355630975,0.2124642084931954
sub10,0.3670941006606288,0.27123802744590814
sub11,0.8211787050560764,0.5722535347363383
sub12,0.4265006792009336,0.22361023440371702
sub13,0.7516906669567884,0.5415944239887703
sub14,0.25390511863340093,0.29293122292274515
sub15,0.2465935466595764,0.025957064011776842
sub16,0.21324949213871366,-0.03831684844761388
sub17,0.417081454743339,0.2693121177402999
sub18,0.6932822547947748,0.6364995727956386
sub19,0.3323188358404694,0.3919991721861949
sub20,0.6049521487325951,0.3736105165276287
sub21,0.6246256260475495,0.28767015278042424
sub22,0.4497248090874565,0.31501215373183056
sub23,0.3996777829367872,0.28738911030205183
sub24,0.6939050443265223,0.4633958900112413
sub25,0.1734250734939298,0.32688871206782427
sub26,0.18574728041967206,0.18604612198239937
sub27,0.36611996587405127,0.16127733567290956
sub28,0.13342890517317735,-0.10019260252098107
sub29,0.22493402258082593,0.1809930129919941
sub30,0.45290338445382483,0.29565237379431647
sub31,0.5847274263150884,0.46952634801163057
sub32,0.37912433612260293,0.2569340497728895
sub33,0.35578525096737135,0.4133979982011401
sub34,0.17996667793785232,-0.04761063679297147
sub35,-0.016243267396191027,-0.12704556263579547
sub36,0.13047808132610092,0.07458021490860041
sub37,0.3371617595035988,0.21474192779196233
sub38,0.43446100492408257,0.39382711742188736
sub39,0.8376876654062461,0.8372271723557734
sub40,0.6261793357299681,0.581964087517236
sub41,0.7098381052612929,0.43950596163418043
sub42,0.506548777664223,0.31150283019639935
sub43,0.3626919958701211,0.1122441122109724
sub44,0.18154595708933643,-0.08729376412298881
sub45,0.6232245225366181,0.4548251348382901
sub46,0.6360181355218025,0.6534717399723203
sub47,0.636267401872675,0.23617149214084787
sub48,0.6295569652622541,0.30544973128997094
sub49,0.9111275965875523,0.7670402442715762
sub50,0.8971337154068268,0.7083736418774701
sub51,0.7020355345067919,0.40314583615647215
sub52,0.629796898049626,0.3145042351199906
sub53,0.6148663461167022,0.2949248880859472
sub54,0.5467692915768088,0.31680771291745313
sub55,0.6328715114572184,0.34755404700645753
sub56,0.9259633434224093,0.7141060774851009
sub57,0.652772445439856,0.5566989789786543
sub58,0.3915133561025399,0.3241260367333188
sub59,0.44670718656860975,0.18622732610358717
sub60,0.0651901383152662,-0.07673949756546633
sub61,0.8317402273886065,0.7892710723787717
sub62,0.5444015915556474,0.5136032639447066
sub63,0.9614601640464214,0.591780067650884
sub64,0.40478019079100175,0.1585469383333018
sub65,1.07690015820536,0.8233231328428936
sub66,0.5273519115528608,0.3005239736526881
sub67,0.18836476789616008,0.02167594425078998
sub68,1.0379563731130694,0.7637135447879323
sub69,0.6027593238761089,0.613795622659934
sub70,0.19881540187908997,0.11212618887913778
sub71,0.7580848242828417,0.644658629434286
sub72,0.7201375001284415,0.9156363833786274
sub73,-0.022276138854926388,-0.12155885880908035
sub74,0.7642723308104554,0.7122859727725106
sub75,0.5864405131171144,0.3245525604752459
sub76,0.8005990591208533,0.6727634283597181
sub77,0.9207216435095427,0.7106191058601558
sub78,0.6681858278147449,0.07305481880364963
sub79,0.34765229928969066,0.23280123204251352
sub80,0.590353171664297,0.4548886073485649
sub81,0.4608821681239785,0.2592960471828709
sub82,0.2258627119415587,0.004516025012962612
sub83,0.4708048653169644,0.20148999022512631
sub84,0.8233843757155355,0.8681612454600562
sub85,1.0622658607281112,0.936269155205109
sub86,0.40537140488745527,0.440776684739947
sub87,0.44601085147238445,0.453077688875874
sub88,-0.505007851332151,-0.3516685514823175
sub89,0.8077491472218734,0.37450202444049663
sub90,0.0990998957174751,0.20358208293320887
sub91,0.6158791441717081,0.4141223195992074
sub92,0.639735749795161,0.42961368997510924
sub93,0.7911124808525213,0.43019691796214543
sub94,0.3271014355512764,0.3943609394141232
sub95,0.7595704933688614,0.5652039574458123
sub96,0.8857831642181625,0.9111215125912654
sub97,0.8995510707078193,0.7581046060809656
sub98,0.12056192373950303,-0.12629126042766442
sub99,0.5703437703949588,0.48090354802100244
sub100,0.6554326122405856,0.6442136337350661
sub101,0.5894731853059139,0.6077607229385094
sub102,1.071479952625309,0.8068538202146082
sub103,0.45356517826721254,0.27461408801474607
sub104,0.5342127872210889,0.3121135945595073
sub105,0.5603943456036892,0.5652514161945533
sub106,0.4064944908007221,0.3652800021198417
sub107,0.22381591837349185,0.14950260371329988
sub108,0.471586692100021,0.3291541458625238
sub109,0.33985728916029073,0.29219270828001614
sub110,0.7363330184568844,0.6628130765417544
sub111,0.22858907342054455,0.4339524121603967
sub112,0.5681874265005962,0.09239681828991148
sub113,0.9084996080772612,0.7536833774542723
sub114,0.25855560776462716,-0.037739044920936486
sub115,0.3031204507373486,0.09140402837908211
sub116,1.0423064887904836,0.9834989379372784
sub117,0.5915193796361156,0.32041866794144713
sub118,0.7839403688135766,0.4634760293488861
sub119,0.8955677793843306,0.7100582367696949
sub120,0.52422185377478,0.4845914711685996
sub121,1.1126596950094614,0.9248448622701776
sub122,0.41293149103771665,0.16200998833706337
sub123,1.1067855722675344,0.9230578836131242
sub124,0.8285866083302922,0.5894803141957011
sub125,1.123503821737373,1.0795097901824664
sub126,0.7880882611958011,0.23988515266646449
sub127,0.5876923386563722,0.31109137005792
sub128,0.7214140327793723,0.5024762740736434
sub129,0.7107079955830172,0.4118358711539966
sub130,0.5169572963399212,0.325115731182346
sub131,0.6238077052141667,0.3951814766843808
sub132,0.7876503575078098,0.5060137632350757
sub133,0.9757532120740373,0.724864035726367
sub134,0.7248730050284609,0.6090652618874207
sub135,1.0521087204830843,0.564270945216816
sub136,1.142099637130373,1.0889447303748245
sub137,0.6504071393709866,0.5910502684508823
sub138,0.5299480405020036,0.39253513243682747
sub139,0.6351215950725984,0.3245973299069407
sub140,0.7506335031997549,0.591434188688704
sub141,0.8437695114160634,0.5313335686624141
sub142,1.1476371687415823,0.9625758132643323
sub143,0.7926463923276594,0.4678237817215881
sub144,-0.21623031419542804,-0.2111411703745435
sub145,0.11383534066993233,0.24228042800676647
sub146,0.9195350721208285,0.546202678824211
sub147,0.7199177212109511,0.1214312423504364
sub148,1.164539112502855,0.7961397355790756
sub149,0.5234947109558005,0.3242461099068138
