ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,-0.061714,0.261103,-0.236358,2.000000,0.582422,0.963064
2,743,74,1.000000,0.052517,0.231016,0.227332,2.000000,0.420645,0.889842
3,462,46,1.000000,0.085086,0.204096,0.416890,2.000000,0.358622,0.889842
4,1627,162,1.000000,-0.191617,0.055186,-3.472170,2.000000,0.963064,0.963064
5,2948,294,1.000000,-0.158341,0.162509,-0.974352,2.000000,0.783676,0.963064
6,644,64,1.000000,-0.562538,0.305888,-1.839029,2.000000,0.896356,0.963064
7,370,37,1.000000,0.038765,0.247318,0.156740,2.000000,0.444921,0.889842
8,743,74,1.000000,0.189964,0.139571,1.361063,2.000000,0.153281,0.889842
9,462,46,1.000000,0.096042,0.130329,0.736917,2.000000,0.268947,0.889842
10,1627,162,1.000000,-0.086152,0.139442,-0.617835,2.000000,0.700169,0.963064
11,2948,294,1.000000,0.039562,0.177441,0.222956,2.000000,0.422135,0.889842
12,644,64,1.000000,-0.556749,0.185784,-2.996757,2.000000,0.952178,0.963064
