ROI,ROISize,LocalizerSize,LocalizerIntersubjectOverlap
49,370,37,1.000000
50,743,74,1.000000
51,462,46,1.000000
52,1627,162,1.000000
53,2948,294,1.000000
54,644,64,1.000000
55,370,37,1.000000
56,743,74,1.000000
57,462,46,1.000000
49,48,1627,162.000000
1,49,49,2948,294.000000
1,49,50,644,64.000000
1,
