subject,index,weight,i,j,k,x(mm),y(mm),z(mm)
3,273386,0.3333,22,62,28,48,-4,-18
3,273471,1.0000,16,63,28,60,-2,-18
3,273476,0.6667,21,63,28,50,-2,-18
3,273477,1.0000,22,63,28,48,-2,-18
3,273562,0.3333,16,64,28,60,0,-18
3,273568,0.3333,22,64,28,48,0,-18
3,273617,0.3333,71,64,28,-50,0,-18
3,273710,0.6667,73,65,28,-54,2,-18
3,273711,0.3333,74,65,28,-56,2,-18
3,273800,0.6667,72,66,28,-52,4,-18
3,273801,1.0000,73,66,28,-54,4,-18
3,273802,1.0000,74,66,28,-56,4,-18
3,273891,0.6667,72,67,28,-52,6,-18
3,273892,0.6667,73,67,28,-54,6,-18
3,273929,0.3333,19,68,28,54,8,-18
3,274294,0.3333,20,72,28,52,16,-18
3,274295,0.3333,21,72,28,50,16,-18
3,274296,0.3333,22,72,28,48,16,-18
3,274478,0.3333,22,74,28,48,20,-18
3,274479,0.3333,23,74,28,46,20,-18
3,274480,0.3333,24,74,28,44,20,-18
3,274571,0.3333,24,75,28,44,22,-18
3,282629,0.3333,74,54,29,-56,-20,-16
3,282666,0.3333,20,55,29,52,-18,-16
3,282667,0.3333,21,55,29,50,-18,-16
3,282755,0.3333,18,56,29,56,-16,-16
3,282756,0.3333,19,56,29,54,-16,-16
3,282757,0.3333,20,56,29,52,-16,-16
3,282758,0.3333,21,56,29,50,-16,-16
3,282845,0.3333,17,57,29,58,-14,-16
3,282846,0.3333,18,57,29,56,-14,-16
3,282847,0.3333,19,57,29,54,-14,-16
3,282848,0.3333,20,57,29,52,-14,-16
3,282934,0.3333,15,58,29,62,-12,-16
3,282935,0.3333,16,58,29,60,-12,-16
3,282936,0.6667,17,58,29,58,-12,-16
3,282937,0.3333,18,58,29,56,-12,-16
3,283025,0.6667,15,59,29,62,-10,-16
3,283026,0.3333,16,59,29,60,-10,-16
3,283027,0.3333,17,59,29,58,-10,-16
3,283116,0.3333,15,60,29,62,-8,-16
3,283117,0.3333,16,60,29,60,-8,-16
3,283207,0.3333,15,61,29,62,-6,-16
3,283208,0.3333,16,61,29,60,-6,-16
3,283298,0.3333,15,62,29,62,-4,-16
3,283299,0.3333,16,62,29,60,-4,-16
3,283390,0.3333,16,63,29,60,-2,-16
3,283481,0.3333,16,64,29,60,0,-16
3,283536,0.3333,71,64,29,-50,0,-16
3,283537,0.3333,72,64,29,-52,0,-16
3,283572,0.3333,16,65,29,60,2,-16
3,283627,0.3333,71,65,29,-50,2,-16
