ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,0.140835,0.097880,1.438863,2.000000,0.143405,0.430904
2,743,74,1.000000,0.057884,0.208789,0.277237,2.000000,0.403813,0.575327
3,462,46,1.000000,0.126404,0.134050,0.942957,2.000000,0.222620,0.430904
4,1627,162,1.000000,0.098178,0.040183,2.443307,2.000000,0.067261,0.430904
5,2948,294,1.000000,0.229879,0.283595,0.810587,2.000000,0.251361,0.430904
6,644,64,1.000000,-0.962362,0.301926,-3.187410,2.000000,0.957034,0.985932
7,370,37,1.000000,0.034924,0.178542,0.195605,2.000000,0.431495,0.575327
8,743,74,1.000000,-0.079596,0.405027,-0.196519,2.000000,0.568819,0.682583
9,462,46,1.000000,0.248879,0.170702,1.457969,2.000000,0.141102,0.430904
10,1627,162,1.000000,0.328064,0.285942,1.147310,2.000000,0.184991,0.430904
11,2948,294,1.000000,0.176615,0.186663,0.946168,2.000000,0.221967,0.430904
12,644,64,1.000000,-0.812319,0.139210,-5.835199,2.000000,0.985932,0.985932
