ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,1.696420,0.041012,41.363515,856.000000,0.000000,0.000000
2,743,74,1.000000,2.204108,0.042720,51.594673,856.000000,0.000000,0.000000
3,462,46,1.000000,2.878217,0.053686,53.612285,856.000000,0.000000,0.000000
4,1627,162,1.000000,1.360796,0.024410,55.748548,856.000000,0.000000,0.000000
5,2948,294,1.000000,1.956840,0.031419,62.282597,856.000000,0.000000,0.000000
6,644,64,1.000000,0.522070,0.027478,18.999601,856.000000,0.000000,0.000000
7,370,37,1.000000,0.755751,0.029242,25.844782,856.000000,0.000000,0.000000
8,743,74,1.000000,0.945580,0.032908,28.733693,856.000000,0.000000,0.000000
9,462,46,1.000000,0.979857,0.037192,26.345989,856.000000,0.000000,0.000000
10,1627,162,1.000000,0.927227,0.026863,34.516942,856.000000,0.000000,0.000000
11,2948,294,1.000000,0.914069,0.025453,35.911585,856.000000,0.000000,0.000000
12,644,64,1.000000,0.011360,0.018718,0.606899,856.000000,0.272039,0.272039
