ROI,Subject,Effect, LocalizerSize,EffectSize
1,127_FED_20160331a_3T1_PL2017,S, 37,0.898469
1,127_FED_20160331a_3T1_PL2017,N, 37,-0.120782
1,127_KAN_EvDB_20150217a_PL2017,S, 37,2.212682
1,127_KAN_EvDB_20150217a_PL2017,N, 37,0.361804
1,135_KAN_RHnonlit_06_PL2017,S, 37,2.676986
1,135_KAN_RHnonlit_06_PL2017,N, 37,1.049012
1,136_KAN_RHnonlit_03_PL2017,S, 37,1.112875
1,136_KAN_RHnonlit_03_PL2017,N, 37,0.050624
1,138_KAN_RHnonlit_02_PL2017,S, 37,1.218136
1,138_KAN_RHnonlit_02_PL2017,N, 37,0.697546
1,143_FED_20160222a_3T2_PL2017,S, 37,1.836737
1,143_FED_20160222a_3T2_PL2017,N, 37,0.900151
1,143_KAN_evDB_20140121b_PL2017,S, 37,0.773706
1,143_KAN_evDB_20140121b_PL2017,N, 37,0.353663
1,149_KAN_EvDB_20150501a_PL2017,S, 37,1.829774
1,149_KAN_EvDB_20150501a_PL2017,N, 37,1.029612
1,152_KAN_RHnonlit_01_PL2017,S, 37,0.730656
1,152_KAN_RHnonlit_01_PL2017,N, 37,-0.503965
1,159_KAN_prodsemphon_01_PL2017,S, 37,1.273129
1,159_KAN_prodsemphon_01_PL2017,N, 37,-0.184626
1,163_KAN_evDB_20141110b_PL2017,S, 37,2.155744
1,163_KAN_evDB_20141110b_PL2017,N, 37,0.276543
1,168_FED_20170918a_3T2_PL2017,S, 37,2.122613
1,168_FED_20170918a_3T2_PL2017,N, 37,-0.027460
1,168_KAN_evDB_20141020b_PL2017,S, 37,2.110238
1,168_KAN_evDB_20141020b_PL2017,N, 37,0.075408
1,168_FED_20160107b_3T2_PL2017,S, 37,1.136931
1,168_FED_20160107b_3T2_PL2017,N, 37,0.435398
1,171_KAN_langsens_05_PL2017,S, 37,0.349880
1,171_KAN_langsens_05_PL2017,N, 37,0.157508
1,172_KAN_prodsemphon_02_PL2017,S, 37,1.323717
1,172_KAN_prodsemphon_02_PL2017,N, 37,0.468484
1,175_FED_20160121a_3T2_PL2017,S, 37,2.456613
1,175_FED_20160121a_3T2_PL2017,N, 37,0.328645
1,175_FED_20170922a_3T2_PL2017,S, 37,1.420782
1,175_FED_20170922a_3T2_PL2017,N, 37,0.765471
1,179_FED_20160706b_3T1_PL2017,S, 37,0.730391
1,179_FED_20160706b_3T1_PL2017,N, 37,-0.100901
1,181_KAN_polyglot_02_PL2017,S, 37,1.016719
1,181_KAN_polyglot_02_PL2017,N, 37,0.761535
1,182_FED_20161102_3T1_PL2017,S, 37,2.512853
1,182_FED_20161102_3T1_PL2017,N, 37,0.935072
1,182_KAN_polyglot_03_PL2017,S, 37,2.041827
1,182_KAN_polyglot_03_PL2017,N, 37,0.617016
1,183_POLY01_20160420_3T1_PL2017,S, 37,0.450220
1,183_POLY01_20160420_3T1_PL2017,N, 37,0.399454
1,183_KAN_polyglot_04a_PL2017,S, 37,0.575521
1,183_KAN_polyglot_04a_PL2017,N, 37,0.420862
1,185_KAN_langsens_01_PL2017,S, 37,0.850748
1,185_KAN_langsens_01_PL2017,N, 37,-0.219007
1,186_KAN_langsens_03_PL2017,S, 37,0.573378
1,186_KAN_langsens_03_PL2017,N, 37,0.136470
1,187_KAN_SpLoc_01_PL2017,S, 37,0.109305
1,187_KAN_SpLoc_01_PL2017,N, 37,-0.134119
1,188_KAN_SpLoc_02_PL2017,S, 37,1.321575
1,188_KAN_SpLoc_02_PL2017,N, 37,0.457398
1,189_KAN_langsens_04_PL2017,S, 37,1.137934
1,189_KAN_langsens_04_PL2017,N, 37,-0.138337
1,189_FED_20150916a_3T2_PL2017,S, 37,0.273930
1,189_FED_20150916a_3T2_PL2017,N, 37,0.148107
1,191_KAN_prodsemphon_03_PL2017,S, 37,1.743465
1,191_KAN_prodsemphon_03_PL2017,N, 37,0.567489
1,192_KAN_prodsemphon_04_PL2017,S, 37,2.395319
1,192_KAN_prodsemphon_04_PL2017,N, 37,0.326051
1,193_KAN_SpLoc_03_PL2017,S, 37,1.990979
1,193_KAN_SpLoc_03_PL2017,N, 37,0.555307
1,194_KAN_RHnonlit_04_PL2017,S, 37,2.488867
1,194_KAN_RHnonlit_04_PL2017,N, 37,0.834021
1,195_KAN_parametric_18_PL2017,S, 37,0.502054
1,195_KAN_parametric_18_PL2017,N, 37,-0.013377
1,196_KAN_parametric_19_PL2017,S, 37,1.964440
1,196_KAN_parametric_19_PL2017,N, 37,0.442192
1,197_KAN_RHnonlit_07_PL2017,S, 37,4.005669
1,197_KAN_RHnonlit_07_PL2017,N, 37,0.997263
1,198_KAN_RHnonlit_08_PL2017,S, 37,2.558662
1,198_KAN_RHnonlit_08_PL2017,N, 37,1.661702
1,199_KAN_parametric_20_PL2017,S, 37,2.702456
1,199_KAN_parametric_20_PL2017,N, 37,0.616341
1,200_KAN_parametric_21_PL2017,S, 37,2.173967
1,200_KAN_parametric_21_PL2017,N, 37,0.444833
1,201_KAN_RHnonlit_11_PL2017,S, 37,2.142735
1,201_KAN_RHnonlit_11_PL2017,N, 37,1.035607
1,202_KAN_evDB_20131204_PL2017,S, 37,2.640263
1,202_KAN_evDB_20131204_PL2017,N, 37,-0.300438
1,203_KAN_SpLoc_04_PL2017,S, 37,3.948990
1,203_KAN_SpLoc_04_PL2017,N, 37,-0.029291
1,204_KAN_prodsemphon_06_PL2017,S, 37,0.199647
1,204_KAN_prodsemphon_06_PL2017,N, 37,-0.219367
1,205_KAN_evDB_20131216_PL2017,S, 37,1.770823
1,205_KAN_evDB_20131216_PL2017,N, 37,1.070950
1,206_POLY07_20160425_3T2_PL2017,S, 37,0.662326
1,206_POLY07_20160425_3T2_PL2017,N, 37,-0.288977
1,206_KAN_evDB_20131218a_PL2017,S, 37,2.145000
1,206_KAN_evDB_20131218a_PL2017,N, 37,0.297892
1,207_KAN_evDB_20140113a_PL2017,S, 37,1.476907
1,207_KAN_evDB_20140113a_PL2017,N, 37,0.849736
1,208_KAN_EvDB_20150224a_PL2017,S, 37,4.257654
1,208_KAN_EvDB_20150224a_PL2017,N, 37,-0.029881
1,208_KAN_evDB_20140121a_PL2017,S, 37,1.036943
1,208_KAN_evDB_20140121a_PL2017,N, 37,-0.128582
1,209_KAN_evDB_20140224_PL2017,S, 37,1.438201
1,209_KAN_evDB_20140224_PL2017,N, 37,0.239267
1,210_KAN_EvDB_20150223d_PL2017,S, 37,0.887225
1,210_KAN_EvDB_20150223d_PL2017,N, 37,0.265219
1,210_KAN_evDB_20140303a_PL2017,S, 37,1.484279
1,210_KAN_evDB_20140303a_PL2017,N, 37,0.936364
1,211_KAN_evDB_20140303b_PL2017,S, 37,1.499387
1,211_KAN_evDB_20140303b_PL2017,N, 37,0.457243
1,211_KAN_EvDB_20150217b_PL2017,S, 37,0.910882
1,211_KAN_EvDB_20150217b_PL2017,N, 37,0.526381
1,212_KAN_evDB_20140303c_PL2017,S, 37,1.092166
1,212_KAN_evDB_20140303c_PL2017,N, 37,-0.654931
1,213_KAN_evDB_20140310a_PL2017,S, 37,1.296902
1,213_KAN_evDB_20140310a_PL2017,N, 37,-0.049079
1,214_KAN_evDB_20140310b_PL2017,S, 37,1.811494
1,214_KAN_evDB_20140310b_PL2017,N, 37,0.490188
1,215_FED_20150615d_3T2_PL2017,S, 37,0.896477
1,215_FED_20150615d_3T2_PL2017,N, 37,0.427165
1,215_FED_20150729a_3T1_PL2017,S, 37,0.503936
1,215_FED_20150729a_3T1_PL2017,N, 37,0.688984
1,215_KAN_evDB_20140724a_PL2017,S, 37,0.649558
1,215_KAN_evDB_20140724a_PL2017,N, 37,0.659838
1,216_KAN_SpLoc_05_PL2017,S, 37,1.528405
1,216_KAN_SpLoc_05_PL2017,N, 37,0.452914
1,217_KAN_evDB_20140724b_PL2017,S, 37,2.111753
1,217_KAN_evDB_20140724b_PL2017,N, 37,0.791488
1,218_KAN_evDB_20140807a_PL2017,S, 37,5.418945
1,218_KAN_evDB_20140807a_PL2017,N, 37,4.266511
1,219_KAN_evDB_20140807b_PL2017,S, 37,1.560118
1,219_KAN_evDB_20140807b_PL2017,N, 37,-0.239920
1,220_KAN_prodsemphon_07_PL2017,S, 37,1.718154
1,220_KAN_prodsemphon_07_PL2017,N, 37,0.529025
1,221_KAN_evDB_20140808_PL2017,S, 37,1.889162
1,221_KAN_evDB_20140808_PL2017,N, 37,0.667565
1,222_KAN_prodsemphon_08_PL2017,S, 37,0.547585
1,222_KAN_prodsemphon_08_PL2017,N, 37,0.431969
1,223_KAN_evDB_20140820a_PL2017,S, 37,0.428389
1,223_KAN_evDB_20140820a_PL2017,N, 37,0.388863
1,224_FED_20160823b_3T1_PL2017,S, 37,3.861975
1,224_FED_20160823b_3T1_PL2017,N, 37,1.948197
1,224_KAN_prodsemphon_09_PL2017,S, 37,3.069397
1,224_KAN_prodsemphon_09_PL2017,N, 37,0.995055
1,225_KAN_evDB_20140820b_PL2017,S, 37,0.466112
1,225_KAN_evDB_20140820b_PL2017,N, 37,-0.058648
1,226_KAN_prodsemphon_10_PL2017,S, 37,3.232719
1,226_KAN_prodsemphon_10_PL2017,N, 37,0.537176
1,227_KAN_evDB_20141021b_PL2017,S, 37,2.322765
1,227_KAN_evDB_20141021b_PL2017,N, 37,0.552337
1,228_KAN_evDB_20141028_PL2017,S, 37,0.280909
1,228_KAN_evDB_20141028_PL2017,N, 37,-0.271885
1,229_KAN_evDB_20141103c_PL2017,S, 37,0.449920
1,229_KAN_evDB_20141103c_PL2017,N, 37,0.166112
1,229_KAN_SpLoc_06_PL2017,S, 37,0.970495
1,229_KAN_SpLoc_06_PL2017,N, 37,0.532056
1,230_KAN_prodsemphon_12_PL2017,S, 37,1.189597
1,230_KAN_prodsemphon_12_PL2017,N, 37,0.356825
1,231_KAN_prodsemphon_13_PL2017,S, 37,2.663215
1,231_KAN_prodsemphon_13_PL2017,N, 37,0.624319
1,232_KAN_prodsemphon_14_PL2017,S, 37,1.866031
1,232_KAN_prodsemphon_14_PL2017,N, 37,0.589074
1,233_KAN_evDB_20141020a_PL2017,S, 37,2.118864
1,233_KAN_evDB_20141020a_PL2017,N, 37,0.937773
1,234_KAN_prodsemphon_15_PL2017,S, 37,3.327138
1,234_KAN_prodsemphon_15_PL2017,N, 37,1.204307
1,235_KAN_prodsemphon_16_PL2017,S, 37,1.352800
1,235_KAN_prodsemphon_16_PL2017,N, 37,0.114158
1,236_KAN_evDB_20141021c_PL2017,S, 37,2.192384
1,236_KAN_evDB_20141021c_PL2017,N, 37,1.198823
1,237_KAN_evDB_20141027a_PL2017,S, 37,2.665244
1,237_KAN_evDB_20141027a_PL2017,N, 37,0.764941
1,238_KAN_EvDB_20150504_PL2017,S, 37,2.381499
1,238_KAN_EvDB_20150504_PL2017,N, 37,0.905120
1,238_KAN_evDB_20141027c_PL2017,S, 37,1.832618
1,238_KAN_evDB_20141027c_PL2017,N, 37,1.145199
1,239_KAN_evDB_20141027d_PL2017,S, 37,3.259965
1,239_KAN_evDB_20141027d_PL2017,N, 37,1.825576
1,239_KAN_evDB_20150129b_PL2017,S, 37,2.916417
1,239_KAN_evDB_20150129b_PL2017,N, 37,1.642380
1,240_KAN_evDB_20141103a_PL2017,S, 37,3.489291
1,240_KAN_evDB_20141103a_PL2017,N, 37,1.966447
1,241_KAN_evDB_20141103d_PL2017,S, 37,2.161108
1,241_KAN_evDB_20141103d_PL2017,N, 37,1.610377
1,242_KAN_evDB_20141110a_PL2017,S, 37,1.957005
1,242_KAN_evDB_20141110a_PL2017,N, 37,0.068939
1,243_KAN_prodsemphon_18_PL2017,S, 37,0.677920
1,243_KAN_prodsemphon_18_PL2017,N, 37,-0.401964
1,244_KAN_evDB_20141201a_PL2017,S, 37,3.633489
1,244_KAN_evDB_20141201a_PL2017,N, 37,1.625152
1,245_KAN_evDB_20141201b_PL2017,S, 37,0.944489
1,245_KAN_evDB_20141201b_PL2017,N, 37,0.298581
1,246_KAN_evDB_20141201c_PL2017,S, 37,0.131916
1,246_KAN_evDB_20141201c_PL2017,N, 37,-0.259117
1,247_KAN_evDB_20141215b_PL2017,S, 37,1.693014
1,247_KAN_evDB_20141215b_PL2017,N, 37,0.815848
1,248_KAN_evDB_20150129a_PL2017,S, 37,0.553496
1,248_KAN_evDB_20150129a_PL2017,N, 37,0.670593
1,248_FED_20151231c_3T2_PL2017,S, 37,-0.421726
1,248_FED_20151231c_3T2_PL2017,N, 37,-0.372466
1,249_FED_20160817b_3T1_PL2017,S, 37,2.414035
1,249_FED_20160817b_3T1_PL2017,N, 37,2.294778
1,249_FED_20170110a_3T2_PL2017,S, 37,1.880752
1,249_FED_20170110a_3T2_PL2017,N, 37,-0.220093
1,249_KAN_EvDB_20150130_PL2017,S, 37,3.620856
1,249_KAN_EvDB_20150130_PL2017,N, 37,0.963358
1,250_KAN_evDB_20150205a_PL2017,S, 37,0.476156
1,250_KAN_evDB_20150205a_PL2017,N, 37,0.818076
1,251_FED_20150828d_3T2_PL2017,S, 37,0.179708
1,251_FED_20150828d_3T2_PL2017,N, 37,-0.819507
1,251_KAN_evDB_20150205b_PL2017,S, 37,0.447488
1,251_KAN_evDB_20150205b_PL2017,N, 37,-0.311772
1,252_FED_20181010b_3T2_PL2017,S, 37,2.043467
1,252_FED_20181010b_3T2_PL2017,N, 37,1.032218
1,252_KAN_evDB_20150206_PL2017,S, 37,2.356036
1,252_KAN_evDB_20150206_PL2017,N, 37,1.104816
1,253_KAN_EvDB_20150211a_PL2017,S, 37,3.718356
1,253_KAN_EvDB_20150211a_PL2017,N, 37,0.923838
1,254_KAN_EvDB_20150211c_PL2017,S, 37,0.674216
1,254_KAN_EvDB_20150211c_PL2017,N, 37,0.265132
1,255_KAN_EvDB_20150223a_PL2017,S, 37,0.947954
1,255_KAN_EvDB_20150223a_PL2017,N, 37,0.854492
1,256_KAN_EvDB_20150223b_PL2017,S, 37,2.109960
1,256_KAN_EvDB_20150223b_PL2017,N, 37,1.288651
1,257_KAN_EvDB_20150310b_PL2017,S, 37,2.683104
1,257_KAN_EvDB_20150310b_PL2017,N, 37,-0.057053
1,257_KAN_EvDB_20150223c_PL2017,S, 37,2.322500
1,257_KAN_EvDB_20150223c_PL2017,N, 37,0.041413
1,258_KAN_EvDB_20150224b_PL2017,S, 37,4.281742
1,258_KAN_EvDB_20150224b_PL2017,N, 37,1.378075
1,259_KAN_EvDB_20150224c_PL2017,S, 37,0.854339
1,259_KAN_EvDB_20150224c_PL2017,N, 37,0.827165
1,260_KAN_EvDB_20150303_PL2017,S, 37,-0.293187
1,260_KAN_EvDB_20150303_PL2017,N, 37,-0.200150
1,261_KAN_EvDB_20150304a_PL2017,S, 37,0.747505
1,261_KAN_EvDB_20150304a_PL2017,N, 37,0.191756
1,261_KAN_EvDB_20150310a_PL2017,S, 37,0.314997
1,261_KAN_EvDB_20150310a_PL2017,N, 37,0.331220
1,261_FED_20170828a_3T2_PL2017,S, 37,3.539614
1,261_FED_20170828a_3T2_PL2017,N, 37,1.198558
1,262_FED_20160909a_3T2_PL2017,S, 37,2.850464
1,262_FED_20160909a_3T2_PL2017,N, 37,1.373442
1,262_FED_20170118a_3T2_PL2017,S, 37,2.866822
1,262_FED_20170118a_3T2_PL2017,N, 37,0.341132
1,262_KAN_evDB_20150304b_PL2017,S, 37,2.170826
1,262_KAN_evDB_20150304b_PL2017,N, 37,1.105050
