ROI,Subject,Weight
1,339_FED_20151217a_3T2_PL2017,1.000000
1,340_FED_20151217b_3T2_PL2017,1.000000
1,341_FED_20151217c_3T2_PL2017,1.000000
1,342_FED_20160105c_3T2_PL2017,1.000000
1,343_FED_20160107a_3T2_PL2017,1.000000
1,344_FED_20160107e_3T2_PL2017,1.000000
1,345_FED_20160112b_3T2_PL2017,1.000000
1,346_FED_20160112e_3T2_PL2017,1.000000
1,347_FED_20160114e_3T2_PL2017,1.000000
1,348_FED_20160119c_3T2_PL2017,1.000000
1,349_FED_20160119d_3T2_PL2017,1.000000
1,350_FED_20160121c_3T2_PL2017,1.000000
1,351_FED_20160126a_3T2_PL2017,1.000000
1,352_FED_20160126e_3T2_PL2017,1.000000
1,353_FED_20160127a_3T1_PL2017,1.000000
1,354_FED_20160128d_3T2_PL2017,1.000000
1,355_FED_20160128e_3T2_PL2017,1.000000
1,356_FED_20160202c_3T2_PL2017,1.000000
1,357_FED_20160205m_3T2_PL2017,1.000000
1,358_FED_20160208m_3T2_PL2017,1.000000
1,359_FED_20160209m_3T2_PL2017,1.000000
1,360_FED_20160211a_3T2_PL2017,1.000000
1,361_FED_20160211b_3T2_PL2017,1.000000
1,362_FED_20160212m_3T1_PL2017,1.000000
1,363_FED_20160222b_3T2_PL2017,1.000000
1,364_FED_20160229a_3T1_PL2017,1.000000
1,365_FED_20170120a_3T2_PL2017,1.000000
1,365_FED_20160229c_3T1_PL2017,1.000000
1,366_FED_20170922b_3T2_PL2017,1.000000
1,366_FED_20160229d_3T1_PL2017,1.000000
1,366_FED_20161103a_3T1_PL2017,1.000000
1,367_FED_20160309b_3T1_PL2017,1.000000
1,368_FED_20160310b_3T1_PL2017,1.000000
1,369_FED_20160317b_3T1_PL2017,1.000000
1,370_FED_20160317c_3T1_PL2017,1.000000
1,371_FED_20160318a_3T1_PL2017,1.000000
1,372_FED_20160318b_3T1_PL2017,1.000000
1,373_FED_20160318c_3T1_PL2017,1.000000
1,375_FED_20160331d_3T1_PL2017,1.000000
1,376_FED_20160401b_3T2_PL2017,1.000000
1,378_FED_20160405a_3T1_PL2017,1.000000
1,379_FED_20160407a_3T1_PL2017,1.000000
1,380_FED_20160407b_3T1_PL2017,1.000000
1,381_FED_20160407c_3T1_PL2017,1.000000
1,382_FED_20160407a_3T2_PL2017,1.000000
1,383_POLY04_20160420_3T1_PL2017,1.000000
1,383_FED_20160505a_3T1_PL2017,1.000000
1,384_FED_20160421a_3T2_PL2017,1.000000
1,385_POLY03_20160421_3T2_PL2017,1.000000
1,386_FED_20160425d_3T1_PL2017,1.000000
1,387_FED_20160425a_3T1_PL2017,1.000000
1,388_FED_20160426b_3T1_PL2017,1.000000
1,389_POLY02_20160425_3T1_PL2017,1.000000
1,390_FED_20160428a_3T1_PL2017,1.000000
1,391_FED_20160429a_3T2_PL2017,1.000000
1,392_FED_20160504a_3T1_PL2017,1.000000
1,393_FED_20160504b_3T2_PL2017,1.000000
1,394_POLY08_20160505_3T1_PL2017,1.000000
