ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,1.152506,0.113290,10.173014,42.000000,0.000000,0.000000
2,743,74,1.000000,1.189520,0.112023,10.618541,42.000000,0.000000,0.000000
3,462,46,1.000000,1.328055,0.155582,8.536054,42.000000,0.000000,0.000000
4,1627,162,1.000000,0.855383,0.091736,9.324362,42.000000,0.000000,0.000000
5,2948,294,1.000000,1.307187,0.115852,11.283236,42.000000,0.000000,0.000000
6,644,64,1.000000,0.306119,0.117713,2.600559,42.000000,0.006397,0.006979
7,370,37,1.000000,0.294179,0.072845,4.038426,42.000000,0.000112,0.000149
8,743,72,0.976744,0.338124,0.077107,4.385123,41.000000,0.000039,0.000059
9,462,45,0.976744,0.305018,0.077158,3.953157,41.000000,0.000149,0.000179
10,1627,162,1.000000,0.450815,0.077272,5.834097,42.000000,0.000000,0.000001
11,2948,294,1.000000,0.567742,0.115822,4.901868,42.000000,0.000007,0.000013
12,644,64,1.000000,-0.021890,0.098319,-0.222644,42.000000,0.587554,0.587554
