subject,index,weight,i,j,k,x(mm),y(mm),z(mm)
43,243448,0.5000,23,60,25,46,-8,-24
43,243536,0.5000,20,61,25,52,-6,-24
43,243537,0.7500,21,61,25,50,-6,-24
43,243538,0.7500,22,61,25,48,-6,-24
43,243585,0.2500,69,61,25,-46,-6,-24
43,243858,0.2500,69,64,25,-46,0,-24
43,244356,0.5000,21,70,25,50,12,-24
43,244357,0.2500,22,70,25,48,12,-24
43,244358,0.2500,23,70,25,46,12,-24
43,244408,0.2500,73,70,25,-54,12,-24
43,244446,0.2500,20,71,25,52,14,-24
43,244447,0.5000,21,71,25,50,14,-24
43,244448,0.2500,22,71,25,48,14,-24
43,244449,0.2500,23,71,25,46,14,-24
43,244450,0.2500,24,71,25,44,14,-24
43,244498,0.7500,72,71,25,-52,14,-24
43,244499,1.0000,73,71,25,-54,14,-24
43,244537,0.2500,20,72,25,52,16,-24
43,244538,0.7500,21,72,25,50,16,-24
43,244539,0.2500,22,72,25,48,16,-24
43,244540,0.2500,23,72,25,46,16,-24
43,244541,0.2500,24,72,25,44,16,-24
43,244589,0.7500,72,72,25,-52,16,-24
43,244629,0.5000,21,73,25,50,18,-24
43,244630,0.2500,22,73,25,48,18,-24
43,244721,0.5000,22,74,25,48,20,-24
43,244813,1.0000,23,75,25,46,22,-24
43,244814,1.0000,24,75,25,44,22,-24
43,253141,0.5000,70,57,26,-48,-14,-22
43,253232,1.0000,70,58,26,-48,-12,-22
43,253233,0.7500,71,58,26,-50,-12,-22
43,253272,0.7500,19,59,26,54,-10,-22
43,253273,0.7500,20,59,26,52,-10,-22
43,253274,1.0000,21,59,26,50,-10,-22
43,253275,0.2500,22,59,26,48,-10,-22
43,253276,0.2500,23,59,26,46,-10,-22
43,253323,1.0000,70,59,26,-48,-10,-22
43,253324,1.0000,71,59,26,-50,-10,-22
43,253363,0.7500,19,60,26,54,-8,-22
43,253364,1.0000,20,60,26,52,-8,-22
43,253365,1.0000,21,60,26,50,-8,-22
43,253366,1.0000,22,60,26,48,-8,-22
43,253367,0.5000,23,60,26,46,-8,-22
43,253414,1.0000,70,60,26,-48,-8,-22
43,253454,0.2500,19,61,26,54,-6,-22
43,253455,1.0000,20,61,26,52,-6,-22
43,253456,1.0000,21,61,26,50,-6,-22
43,253457,0.7500,22,61,26,48,-6,-22
43,253504,0.5000,69,61,26,-46,-6,-22
43,253546,0.2500,20,62,26,52,-4,-22
43,253602,0.2500,76,62,26,-60,-4,-22
43,253693,0.5000,76,63,26,-60,-2,-22
43,254184,0.5000,21,69,26,50,10,-22
43,254185,1.0000,22,69,26,48,10,-22
43,254232,0.5000,69,69,26,-46,10,-22
43,254233,0.2500,70,69,26,-48,10,-22
43,254275,0.7500,21,70,26,50,12,-22
43,254276,0.5000,22,70,26,48,12,-22
43,254327,0.2500,73,70,26,-54,12,-22
43,254365,0.2500,20,71,26,52,14,-22
43,254366,0.5000,21,71,26,50,14,-22
43,254367,0.2500,22,71,26,48,14,-22
43,254368,0.2500,23,71,26,46,14,-22
43,254457,0.5000,21,72,26,50,16,-22
43,254458,0.2500,22,72,26,48,16,-22
43,254459,0.2500,23,72,26,46,16,-22
43,254460,0.5000,24,72,26,44,16,-22
43,254548,0.2500,21,73,26,50,18,-22
43,254549,0.5000,22,73,26,48,18,-22
43,254550,0.2500,23,73,26,46,18,-22
43,254551,0.2500,24,73,26,44,18,-22
43,254640,0.5000,22,74,26,48,20,-22
43,254641,0.2500,23,74,26,46,20,-22
43,254642,0.5000,24,74,26,44,20,-22
43,262828,0.5000,20,55,27,52,-18,-20
43,262829,0.5000,21,55,27,50,-18,-20
43,262880,0.2500,72,55,27,-52,-18,-20
43,262881,0.2500,73,55,27,-54,-18,-20
43,262919,0.2500,20,56,27,52,-16,-20
43,262920,0.2500,21,56,27,50,-16,-20
43,263006,0.2500,16,57,27,60,-14,-20
43,263007,0.2500,17,57,27,58,-14,-20
43,263008,0.2500,18,57,27,56,-14,-20
43,263060,0.5000,70,57,27,-48,-14,-20
43,263061,0.2500,71,57,27,-50,-14,-20
43,263098,0.5000,17,58,27,58,-12,-20
43,263099,1.0000,18,58,27,56,-12,-20
43,263100,0.7500,19,58,27,54,-12,-20
43,263151,1.0000,70,58,27,-48,-12,-20
43,263152,1.0000,71,58,27,-50,-12,-20
43,263189,0.2500,17,59,27,58,-10,-20
43,263190,1.0000,18,59,27,56,-10,-20
43,263191,1.0000,19,59,27,54,-10,-20
43,263192,0.7500,20,59,27,52,-10,-20
43,263193,0.5000,21,59,27,50,-10,-20
43,263194,0.7500,22,59,27,48,-10,-20
43,263195,0.2500,23,59,27,46,-10,-20
43,263242,1.0000,70,59,27,-48,-10,-20
43,263243,1.0000,71,59,27,-50,-10,-20
43,263244,0.7500,72,59,27,-52,-10,-20
43,263281,0.2500,18,60,27,56,-8,-20
43,263282,0.7500,19,60,27,54,-8,-20
43,263283,1.0000,20,60,27,52,-8,-20
43,263284,1.0000,21,60,27,50,-8,-20
43,263285,0.7500,22,60,27,48,-8,-20
43,263286,0.2500,23,60,27,46,-8,-20
43,263333,0.5000,70,60,27,-48,-8,-20
43,263334,0.7500,71,60,27,-50,-8,-20
43,263373,0.2500,19,61,27,54,-6,-20
43,263374,1.0000,20,61,27,52,-6,-20
43,263375,1.0000,21,61,27,50,-6,-20
43,263376,1.0000,22,61,27,48,-6,-20
43,263423,0.5000,69,61,27,-46,-6,-20
43,263424,0.2500,70,61,27,-48,-6,-20
43,263464,0.2500,19,62,27,54,-4,-20
43,263465,0.7500,20,62,27,52,-4,-20
43,263466,0.2500,21,62,27,50,-4,-20
43,263611,0.2500,75,63,27,-58,-2,-20
43,263612,0.2500,76,63,27,-60,-2,-20
43,263735,0.2500,17,65,27,58,2,-20
43,263827,0.7500,18,66,27,56,4,-20
43,263828,0.5000,19,66,27,54,4,-20
43,264012,0.2500,21,68,27,50,8,-20
43,264103,1.0000,21,69,27,50,10,-20
43,264104,1.0000,22,69,27,48,10,-20
43,264151,0.7500,69,69,27,-46,10,-20
43,264152,0.2500,70,69,27,-48,10,-20
43,264153,0.2500,71,69,27,-50,10,-20
43,264193,0.2500,20,70,27,52,12,-20
43,264194,0.2500,21,70,27,50,12,-20
43,264195,0.5000,22,70,27,48,12,-20
43,264242,0.7500,69,70,27,-46,12,-20
43,264283,0.2500,19,71,27,54,14,-20
43,264284,0.2500,20,71,27,52,14,-20
43,264285,0.2500,21,71,27,50,14,-20
43,264378,0.2500,23,72,27,46,16,-20
43,264470,0.2500,24,73,27,44,18,-20
43,264559,0.2500,22,74,27,48,20,-20
43,264560,0.2500,23,74,27,46,20,-20
43,264561,1.0000,24,74,27,44,20,-20
43,272707,0.2500,71,54,28,-50,-20,-18
43,272708,0.5000,72,54,28,-52,-20,-18
43,272709,0.5000,73,54,28,-54,-20,-18
43,272710,0.2500,74,54,28,-56,-20,-18
43,272747,0.2500,20,55,28,52,-18,-18
43,272748,0.5000,21,55,28,50,-18,-18
43,272749,0.2500,22,55,28,48,-18,-18
43,272798,0.2500,71,55,28,-50,-18,-18
43,272799,0.2500,72,55,28,-52,-18,-18
43,272838,0.2500,20,56,28,52,-16,-18
