ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,0.288463,0.095121,3.032582,42.000000,0.002072,0.008289
2,743,74,1.000000,0.417072,0.095714,4.357486,42.000000,0.000042,0.000249
3,462,46,1.000000,0.636915,0.122161,5.213717,42.000000,0.000003,0.000032
4,1627,162,1.000000,0.079760,0.066215,1.204575,42.000000,0.117556,0.201524
5,2948,294,1.000000,0.276648,0.096897,2.855073,42.000000,0.003329,0.009987
6,644,64,1.000000,-0.670030,0.141282,-4.742494,42.000000,0.999988,0.999988
7,370,37,1.000000,0.070244,0.065120,1.078677,42.000000,0.143444,0.215166
8,743,72,0.976744,0.092632,0.067252,1.377379,41.000000,0.087934,0.175868
9,462,45,0.976744,0.139112,0.077636,1.791860,41.000000,0.040269,0.096645
10,1627,162,1.000000,-0.010196,0.063752,-0.159934,42.000000,0.563150,0.675780
11,2948,294,1.000000,0.087860,0.091057,0.964892,42.000000,0.170061,0.226748
12,644,64,1.000000,-0.350610,0.089115,-3.934346,42.000000,0.999846,0.999988
