ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,0.694736,0.097526,7.123624,42.000000,0.000000,0.000000
2,743,74,1.000000,0.825489,0.099429,8.302274,42.000000,0.000000,0.000000
3,462,46,1.000000,0.977195,0.124418,7.854134,42.000000,0.000000,0.000000
4,1627,162,1.000000,0.373102,0.069498,5.368548,42.000000,0.000002,0.000004
5,2948,294,1.000000,0.731868,0.097907,7.475095,42.000000,0.000000,0.000000
6,644,64,1.000000,-0.292781,0.117830,-2.484774,42.000000,0.991484,0.991484
7,370,37,1.000000,0.157575,0.063319,2.488609,42.000000,0.008437,0.011134
8,743,72,0.976744,0.214352,0.072093,2.973265,41.000000,0.002458,0.004214
9,462,45,0.976744,0.211136,0.077489,2.724730,41.000000,0.004709,0.007063
10,1627,162,1.000000,0.162113,0.066181,2.449532,42.000000,0.009278,0.011134
11,2948,294,1.000000,0.293646,0.098549,2.979691,42.000000,0.002390,0.004214
12,644,64,1.000000,-0.208277,0.090512,-2.301089,42.000000,0.986791,0.991484
