ROI,Subject,Weight
4,016_SWJNV2_09_PL2017,1.000000
4,018_SWJNV2_10_PL2017,1.000000
4,020_SWJNV2_12_PL2017,1.000000
4,021_SWJNaudio_04_PL2017,1.000000
4,022_SWJNaudio_06_PL2017,1.000000
4,023_SWJNaudio_07_PL2017,1.000000
4,024_SWJNaudio_08_PL2017,1.000000
4,024_SWJNV2_13_PL2017,1.000000
4,025_SWJNV2_15_PL2017,1.000000
4,026_SWJNaudio_11_PL2017,1.000000
4,027_SWJNaudio_12_PL2017,1.000000
4,028_SWJNaudio_13_PL2017,1.000000
4,029_SWJNaudio_14_PL2017,1.000000
4,030_SWJNaudio_15_PL2017,1.000000
4,031_SWJNaudio_16_PL2017,1.000000
4,032_SWJNaudio_17_PL2017,1.000000
4,033_SWJNaudio_18_PL2017,1.000000
4,001_SWJN_01_PL2017,1.000000
4,002_SWJN_05_PL2017,1.000000
4,003_SWJN_07_PL2017,1.000000
4,004_SWJN_09_PL2017,1.000000
4,005_SWJN_11_PL2017,1.000000
4,006_SWJN_12_PL2017,1.000000
4,007_SWJN_13_PL2017,1.000000
4,021_SWJNaudio_04_PL2017,1.000000
4,022_SWJNaudio_06_PL2017,1.000000
4,023_SWJNaudio_07_PL2017,1.000000
4,024_SWJNaudio_08_PL2017,1.000000
4,026_SWJNaudio_11_PL2017,1.000000
4,027_SWJNaudio_12_PL2017,1.000000
4,028_SWJNaudio_13_PL2017,1.000000
4,030_SWJNaudio_15_PL2017,1.000000
4,031_SWJNaudio_16_PL2017,1.000000
4,032_SWJNaudio_17_PL2017,1.000000
4,033_SWJNaudio_18_PL2017,1.000000
5,008_SWJNV2_01_PL2017,1.000000
5,009_SWJNV2_02_PL2017,1.000000
5,010_SWJNV2_03_PL2017,1.000000
5,011_SWJNV2_04_PL2017,1.000000
5,012_SWJNV2_05_PL2017,1.000000
5,013_SWJNV2_06_PL2017,1.000000
5,014_SWJNV2_07_PL2017,1.000000
5,015_SWJNV2_08_PL2017,1.000000
5,016_SWJNV2_09_PL2017,1.000000
5,018_SWJNV2_10_PL2017,1.000000
5,020_SWJNV2_12_PL2017,1.000000
5,021_SWJNaudio_04_PL2017,1.000000
5,022_SWJNaudio_06_PL2017,1.000000
5,023_SWJNaudio_07_PL2017,1.000000
5,024_SWJNaudio_08_PL2017,1.000000
5,024_SWJNV2_13_PL2017,1.000000
5,025_SWJNV2_15_PL2017,1.000000
5,026_SWJNaudio_11_PL2017,1.000000
5,027_SWJNaudio_12_PL2017,1.000000
5,028_SWJNaudio_13_PL2017,1.000000
5,029_SWJNaudio_14_PL2017,1.000000
5,030_SWJNaudio_15_PL2017,1.000000
5,031_SWJNaudio_16_PL2017,1.000000
5,032_SWJNaudio_17_PL2017,1.000000
5,033_SWJNaudio_18_PL2017,1.000000
5,001_SWJN_01_PL2017,1.000000
5,002_SWJN_05_PL2017,1.000000
5,003_SWJN_07_PL2017,1.000000
5,004_SWJN_09_PL2017,1.000000
5,005_SWJN_11_PL2017,1.000000
5,006_SWJN_12_PL2017,1.000000
5,007_SWJN_13_PL2017,1.000000
5,021_SWJNaudio_04_PL2017,1.000000
5,022_SWJNaudio_06_PL2017,1.000000
5,023_SWJNaudio_07_PL2017,1.000000
5,024_SWJNaudio_08_PL2017,1.000000
5,026_SWJNaudio_11_PL2017,1.000000
5,027_SWJNaudio_12_PL2017,1.000000
5,028_SWJNaudio_13_PL2017,1.000000
5,030_SWJNaudio_15_PL2017,1.000000
5,031_SWJNaudio_16_PL2017,1.000000
5,032_SWJNaudio_17_PL2017,1.000000
5,033_SWJNaudio_18_PL2017,1.000000
6,008_SWJNV2_01_PL2017,1.000000
6,009_SWJNV2_02_PL2017,1.000000
6,010_SWJNV2_03_PL2017,1.000000
6,011_SWJNV2_04_PL2017,1.000000
6,012_SWJNV2_05_PL2017,1.000000
6,013_SWJNV2_06_PL2017,1.000000
6,014_SWJNV2_07_PL2017,1.000000
6,015_SWJNV2_08_PL2017,1.000000
6,016_SWJNV2_09_PL2017,1.000000
6,018_SWJNV2_10_PL2017,1.000000
6,020_SWJNV2_12_PL2017,1.000000
6,021_SWJNaudio_04_PL2017,1.000000
6,022_SWJNaudio_06_PL2017,1.000000
6,023_SWJNaudio_07_PL2017,1.000000
6,024_SWJNaudio_08_PL2017,1.000000
6,024_SWJNV2_13_PL2017,1.000000
6,025_SWJNV2_15_PL2017,1.000000
6,026_SWJNaudio_11_PL2017,1.000000
6,027_SWJNaudio_12_PL2017,1.000000
6,028_SWJNaudio_13_PL2017,1.000000
6,029_SWJNaudio_14_PL2017,1.000000
6,030_SWJNaudio_15_PL2017,1.000000
6,031_SWJNaudio_16_PL2017,1.000000
6,032_SWJNaudio_17_PL2017,1.000000
6,033_SWJNaudio_18_PL2017,1.000000
6,001_SWJN_01_PL2017,1.000000
6,002_SWJN_05_PL2017,1.000000
6,003_SWJN_07_PL2017,1.000000
6,004_SWJN_09_PL2017,1.000000
6,005_SWJN_11_PL2017,1.000000
6,006_SWJN_12_PL2017,1.000000
6,007_SWJN_13_PL2017,1.000000
6,021_SWJNaudio_04_PL2017,1.000000
6,022_SWJNaudio_06_PL2017,1.000000
6,023_SWJNaudio_07_PL2017,1.000000
6,024_SWJNaudio_08_PL2017,1.000000
6,026_SWJNaudio_11_PL2017,1.000000
6,027_SWJNaudio_12_PL2017,1.000000
6,028_SWJNaudio_13_PL2017,1.000000
6,030_SWJNaudio_15_PL2017,1.000000
6,031_SWJNaudio_16_PL2017,1.000000
6,032_SWJNaudio_17_PL2017,1.000000
6,033_SWJNaudio_18_PL2017,1.000000
7,008_SWJNV2_01_PL2017,1.000000
7,009_SWJNV2_02_PL2017,1.000000
7,010_SWJNV2_03_PL2017,1.000000
7,011_SWJNV2_04_PL2017,1.000000
7,012_SWJNV2_05_PL2017,1.000000
7,013_SWJNV2_06_PL2017,1.000000
7,014_SWJNV2_07_PL2017,1.000000
7,015_SWJNV2_08_PL2017,1.000000
7,016_SWJNV2_09_PL2017,1.000000
7,018_SWJNV2_10_PL2017,1.000000
7,020_SWJNV2_12_PL2017,1.000000
7,021_SWJNaudio_04_PL2017,1.000000
7,022_SWJNaudio_06_PL2017,1.000000
7,023_SWJNaudio_07_PL2017,1.000000
7,024_SWJNaudio_08_PL2017,1.000000
7,024_SWJNV2_13_PL2017,1.000000
7,025_SWJNV2_15_PL2017,1.000000
7,026_SWJNaudio_11_PL2017,1.000000
7,027_SWJNaudio_12_PL2017,1.000000
7,028_SWJNaudio_13_PL2017,1.000000
7,029_SWJNaudio_14_PL2017,1.000000
7,030_SWJNaudio_15_PL2017,1.000000
7,031_SWJNaudio_16_PL2017,1.000000
7,032_SWJNaudio_17_PL2017,1.000000
7,033_SWJNaudio_18_PL2017,1.000000
7,001_SWJN_01_PL2017,1.000000
7,002_SWJN_05_PL2017,1.000000
7,003_SWJN_07_PL2017,1.000000
7,004_SWJN_09_PL2017,1.000000
7,005_SWJN_11_PL2017,1.000000
7,006_SWJN_12_PL2017,1.000000
7,007_SWJN_13_PL2017,1.000000
7,021_SWJNaudio_04_PL2017,1.000000
7,022_SWJNaudio_06_PL2017,1.000000
7,023_SWJNaudio_07_PL2017,1.000000
7,024_SWJNaudio_08_PL2017,1.000000
7,026_SWJNaudio_11_PL2017,1.000000
7,027_SWJNaudio_12_PL2017,1.000000
7,028_SWJNaudio_13_PL2017,1.000000
7,030_SWJNaudio_15_PL2017,1.000000
7,031_SWJNaudio_16_PL2017,1.000000
7,032_SWJNaudio_17_PL2017,1.000000
7,033_SWJNaudio_18_PL2017,1.000000
8,008_SWJNV2_01_PL2017,1.000000
8,009_SWJNV2_02_PL2017,1.000000
8,010_SWJNV2_03_PL2017,1.000000
8,011_SWJNV2_04_PL2017,1.000000
8,012_SWJNV2_05_PL2017,1.000000
8,013_SWJNV2_06_PL2017,1.000000
8,014_SWJNV2_07_PL2017,1.000000
8,015_SWJNV2_08_PL2017,1.000000
8,016_SWJNV2_09_PL2017,1.000000
8,018_SWJNV2_10_PL2017,1.000000
8,020_SWJNV2_12_PL2017,1.000000
8,021_SWJNaudio_04_PL2017,1.000000
8,022_SWJNaudio_06_PL2017,1.000000
8,023_SWJNaudio_07_PL2017,1.000000
8,024_SWJNaudio_08_PL2017,1.000000
8,024_SWJNV2_13_PL2017,1.000000
8,025_SWJNV2_15_PL2017,1.000000
8,026_SWJNaudio_11_PL2017,1.000000
8,027_SWJNaudio_12_PL2017,1.000000
8,028_SWJNaudio_13_PL2017,1.000000
8,029_SWJNaudio_14_PL2017,1.000000
8,030_SWJNaudio_15_PL2017,1.000000
8,031_SWJNaudio_16_PL2017,1.000000
8,032_SWJNaudio_17_PL2017,1.000000
8,033_SWJNaudio_18_PL2017,1.000000
8,001_SWJN_01_PL2017,1.000000
8,002_SWJN_05_PL2017,1.000000
8,003_SWJN_07_PL2017,1.000000
8,004_SWJN_09_PL2017,1.000000
8,005_SWJN_11_PL2017,1.000000
8,006_SWJN_12_PL2017,1.000000
8,007_SWJN_13_PL2017,1.000000
8,021_SWJNaudio_04_PL2017,1.000000
8,022_SWJNaudio_06_PL2017,1.000000
8,023_SWJNaudio_07_PL2017,1.000000
8,024_SWJNaudio_08_PL2017,1.000000
8,026_SWJNaudio_11_PL2017,1.000000
8,027_SWJNaudio_12_PL2017,1.000000
8,028_SWJNaudio_13_PL2017,0.000000
8,030_SWJNaudio_15_PL2017,1.000000
8,031_SWJNaudio_16_PL2017,1.000000
8,032_SWJNaudio_17_PL2017,1.000000
8,033_SWJNaudio_18_PL2017,1.000000
9,008_SWJNV2_01_PL2017,1.000000
9,009_SWJNV2_02_PL2017,1.000000
9,010_SWJNV2_03_PL2017,1.000000
9,011_SWJNV2_04_PL2017,1.000000
9,012_SWJNV2_05_PL2017,1.000000
9,013_SWJNV2_06_PL2017,1.000000
9,014_SWJNV2_07_PL2017,1.000000
9,015_SWJNV2_08_PL2017,1.000000
9,016_SWJNV2_09_PL2017,1.000000
9,018_SWJNV2_10_PL2017,1.000000
